sample,depth,permeability,porosity,density
1.00,3126.03,0.39,29.70,2.65
2.00,3126.33,77.00,24.00,2.65
3.00,3126.64,74.00,28.60,2.66
4.00,3126.94,107.00,28.00,2.69
5.00,3127.25,48.00,22.80,2.65
6.00,3127.55,24.00,27.40,2.65
7.00,3127.86,93.00,22.90,2.66
8.00,3128.16,35.00,17.10,2.66
9.00,3128.47,43.00,20.60,2.67
10.00,3128.77,31.00,16.70,2.65
11.00,3129.08,15.40,17.60,2.65
12.00,3129.38,108.00,19.60,2.65
13.00,3129.69,46.00,19.70,2.65
14.00,3129.99,32.00,18.70,2.66
15.00,3130.30,53.00,19.30,2.65
16.00,3130.60,35.00,16.50,2.67
17.00,3130.91,54.00,22.40,2.65
18.00,3131.21,4.55,16.20,2.66
19.00,3131.52,230.00,8.20,2.65
20.00,3131.82,80.00,13.30,2.65
21.00,3132.12,144.00,16.00,2.66
22.00,3132.43,99.00,13.60,2.65
23.00,3132.73,38.00,15.00,2.65
24.00,3133.04,98.00,12.00,2.66
25.00,3133.34,91.00,20.60,2.76
26.00,3133.65,22.00,20.60,2.65
27.00,3133.95,11.90,20.60,
28.00,3134.26,265.00,20.60,2.67
29.00,3134.56,,20.60,2.66
30.00,3134.87,8.30,20.60,2.66
31.00,3135.17,26.00,20.60,2.67
32.00,3135.48,12.70,20.60,2.65
33.00,3135.78,6.08,20.60,2.80
34.00,3136.09,73.00,20.60,2.64
35.00,3136.39,7.11,20.60,2.65
36.00,3136.70,93.00,20.60,2.66
37.00,3137.00,43.00,20.60,2.64
38.00,3137.31,7.50,20.60,2.65
39.00,3137.61,52.00,20.60,2.64
40.00,3137.92,33.00,20.60,2.65
41.00,3138.22,43.00,20.60,2.66
42.00,3138.53,37.00,20.60,2.65
43.00,3138.83,11.00,20.60,2.65
44.00,3139.14,69.00,20.60,2.65
45.00,3139.44,57.00,20.60,2.65
46.00,3139.74,53.00,20.60,2.65
47.00,3140.05,40.00,20.60,2.66
48.00,3140.35,15.90,20.60,2.65
49.00,3140.66,31.00,20.60,2.66
50.00,3140.96,65.00,20.60,2.68
51.00,3141.27,16.30,20.60,2.66
52.00,3141.57,0.12,20.60,2.66
53.00,3141.88,2.52,20.60,2.67
54.00,3142.18,8.88,20.60,2.65
55.00,3142.49,8.05,20.60,2.65
56.00,3142.79,58.00,20.60,2.66
57.00,3143.10,19.70,20.60,2.70
58.00,3143.40,17.10,20.60,2.65
59.00,3143.71,0.57,20.60,2.66
60.00,3144.01,30.00,20.60,2.65
61.00,3144.32,11.90,20.60,2.65
62.00,3144.62,132.00,20.60,2.65
63.00,3144.93,39.00,20.60,2.66
64.00,3145.23,72.00,28.70,2.76
65.00,3145.54,5.16,28.30,2.72
66.00,3145.84,,28.00,2.66
67.00,3146.15,,27.50,2.71
68.00,3146.45,7.10,28.50,2.67
69.00,3146.76,0.38,28.20,2.64
70.00,3147.06,15.80,30.80,
71.00,3147.36,120.00,29.40,2.66
72.00,3147.67,32.00,28.30,2.65
73.00,3147.97,2.13,28.00,2.65
74.00,3148.28,95.00,29.80,2.65
75.00,3148.58,79.00,29.30,2.65
76.00,3148.89,74.00,30.90,2.65
77.00,3149.19,11.00,30.30,2.70
78.00,3149.50,27.00,30.40,2.65
79.00,3149.80,40.00,29.10,2.78
80.00,3150.11,39.00,30.30,2.65
81.00,3150.41,1.92,25.60,2.64
82.00,3150.72,64.00,29.70,2.65
83.00,3151.02,52.00,17.90,2.65
84.00,3151.33,9.00,15.20,2.65
85.00,3151.63,45.00,15.20,2.70
86.00,3151.94,52.00,26.00,2.69
87.00,3152.24,0.25,28.30,2.71
88.00,3152.55,0.32,28.30,
89.00,3152.85,0.24,28.30,2.69
90.00,3153.16,,27.00,
91.00,3153.46,,28.80,2.69
92.00,3153.46,,30.90,2.65
93.00,,7.69,27.50,2.66
94.00,3153.77,35.00,28.40,2.67
95.00,3154.07,4.24,28.90,2.68
96.00,3154.38,2.13,26.80,2.66
97.00,3154.68,0.22,28.20,2.65
98.00,3154.98,32.00,26.80,2.67
99.00,3155.29,15.30,29.30,2.67
100.00,3155.59,11.10,28.30,2.66
101.00,3155.90,5.68,22.80,
102.00,3156.20,1.61,22.80,2.65
103.00,3156.51,,25.30,2.66
104.00,3156.81,24.00,30.00,2.66
105.00,3157.12,8.30,29.80,2.66
106.00,3157.42,21.00,28.10,2.73
107.00,3157.73,7.97,31.30,2.66
108.00,3158.03,,28.40,
109.00,3158.34,6.80,27.50,
110.00,3158.64,,28.80,
111.00,3158.95,,26.00,2.67
112.00,3159.25,,24.70,
113.00,3160.17,0.33,27.60,2.65
114.00,3160.47,,27.50,
115.00,3160.78,1.85,28.60,
116.00,3161.08,,28.60,2.67
117.00,3161.39,,27.30,2.66
118.00,3161.69,0.47,25.70,2.69
119.00,3162.00,0.73,25.70,2.67
120.00,3162.30,0.12,25.70,
121.00,3162.60,0.88,15.90,2.69
122.00,3162.91,,17.10,2.68
123.00,3163.21,0.20,16.70,2.67
124.00,3160.17,0.26,23.40,2.66
125.00,3160.47,3.23,19.60,2.67
126.00,3160.78,5.00,19.50,2.67
127.00,3161.08,0.83,14.40,2.65
128.00,3161.39,0.24,22.90,2.65
129.00,3161.69,22.00,21.80,2.66
130.00,3162.00,11.70,20.40,2.68
131.00,3162.30,15.00,14.60,2.65
132.00,3162.60,0.24,24.00,2.65
133.00,3162.91,13.50,23.60,2.66
134.00,3163.21,13.20,19.70,
135.00,3163.52,0.79,15.20,2.66
136.00,3163.82,0.87,17.70,2.68
137.00,3164.13,0.80,12.30,2.69
138.00,3164.43,0.15,19.70,2.66
139.00,3164.74,2.33,19.70,2.66
140.00,3165.04,3.28,21.40,2.65
141.00,3165.35,12.80,22.50,2.65
142.00,3165.65,15.70,21.90,2.66
143.00,3165.96,15.00,20.30,2.66
144.00,3166.26,3.02,19.30,2.65
145.00,3166.57,1.47,24.30,2.65
146.00,3166.87,24.00,22.70,2.66
147.00,3167.18,4.09,20.60,2.70
148.00,3167.48,2.28,12.10,2.67
149.00,3167.79,0.15,18.40,2.69
150.00,3168.09,0.52,5.30,2.65
151.00,3168.40,0.06,18.60,2.69
152.00,3126.03,79.00,15.90,2.65
153.00,3126.94,26.00,18.90,2.65
154.00,3127.86,44.00,20.10,2.65
155.00,3128.77,56.00,18.90,2.66
